run_id,phase,pipeline,config_id,case_id,filename,status,expected_pages,detected_pages,expected_tables,detected_tables,text_anchor_recall,table_cell_recall,table_detection_ratio,table_detection_precision,table_detection_f1,case_confidence_score,low_confidence,overall_score,convert_seconds,total_seconds,seconds_per_page,markdown_chars,request_count,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,error
poc_all_20260504_001,full,standard,std_baseline_accurate,C11,case11_chart_formula_code_3p.pdf,ok,3,3,3,3,0.125,1.0,1.0,1.0,1.0,0.7703,False,0.6937,3.907,3.915,1.305,2183,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,0.75,1.0,1.0,1.0,1.0,0.9344,False,0.9125,1.657,1.685,0.842,4152,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C02,case02_dense_multisection_5p.pdf,ok,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,2.909,3.113,0.623,20266,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,7,0.5556,0.6895,0.7778,1.0,0.875,0.7073,True,0.6514,5.115,5.313,0.59,17371,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C04,case04_long_register_16p.pdf,ok,16,16,16,16,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,9.728,10.823,0.676,59308,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,48.932,48.973,12.243,5224,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C06,case6.pdf,ok,3,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,1.632,1.654,0.551,3886,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C07,case07_japanese_multicolumn_vertical_3p.pdf,ok,3,3,3,6,0.9231,1.0,1.0,0.5,0.6667,0.6965,True,0.9731,1.605,1.658,0.553,5821,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C08,case08_form_checkboxes_3p.pdf,ok,3,3,3,6,1.0,1.0,1.0,0.5,0.6667,0.7167,True,1.0,1.589,1.632,0.544,6124,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,0.5,0.981,1.0,1.0,1.0,0.8609,False,0.8145,31.125,31.152,10.384,3466,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C10,case10_irregular_nested_tables_4p.pdf,ok,4,4,8,8,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,2.173,2.287,0.572,8326,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_no_table_structure,C11,case11_chart_formula_code_3p.pdf,ok,3,3,3,3,0.125,1.0,1.0,1.0,1.0,0.7703,False,0.6937,1.562,1.588,0.529,3035,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,0.75,1.0,1.0,1.0,1.0,0.9344,False,0.9125,2.911,2.918,1.459,2830,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C02,case02_dense_multisection_5p.pdf,ok,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,8.954,8.995,1.799,31968,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,7,0.5556,0.6895,0.7778,1.0,0.875,0.7073,True,0.6514,9.653,9.692,1.077,11829,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C04,case04_long_register_16p.pdf,ok,16,16,16,16,1.0,0.9869,1.0,1.0,1.0,0.9946,False,0.9928,25.339,25.52,1.595,37478,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,50.237,50.247,12.562,3613,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C06,case6.pdf,ok,3,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,2.595,2.608,0.869,4888,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C07,case07_japanese_multicolumn_vertical_3p.pdf,ok,3,3,3,6,0.9231,1.0,1.0,0.5,0.6667,0.6965,True,0.9731,3.554,3.568,1.189,4228,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C08,case08_form_checkboxes_3p.pdf,ok,3,3,3,6,0.8889,1.0,1.0,0.5,0.6667,0.6875,True,0.9611,3.572,3.582,1.194,3859,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,0.5,0.981,1.0,1.0,1.0,0.8609,False,0.8145,32.403,32.41,10.803,2734,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C10,case10_irregular_nested_tables_4p.pdf,ok,4,4,8,8,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,5.328,5.353,1.338,9754,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_fast,C11,case11_chart_formula_code_3p.pdf,ok,3,3,3,3,0.125,1.0,1.0,1.0,1.0,0.7703,False,0.6937,2.786,2.794,0.931,2183,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_no_cell_match,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,0.75,1.0,1.0,1.0,1.0,0.9344,False,0.9125,4.82,4.827,2.413,2830,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_no_cell_match,C02,case02_dense_multisection_5p.pdf,ok,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,17.271,17.312,3.462,27788,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_no_cell_match,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,7,0.5185,0.6895,0.7778,1.0,0.875,0.6976,True,0.6385,16.851,16.89,1.877,11829,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_no_cell_match,C04,case04_long_register_16p.pdf,ok,16,16,16,16,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,52.727,52.906,3.307,37694,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_table_no_cell_match,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,52.663,52.673,13.168,3678,0,0,0,0,0.0,
